t,s
0.0,0.0
0.001,1.360203775629017e-05
0.002,1.9236186270856463e-05
0.003,2.355942048036475e-05
0.004,2.720407551258034e-05
0.005,3.041508105558354e-05
0.006,3.3318051964982287e-05
0.007,3.598760922685478e-05
0.008,3.8472372541712926e-05
0.009,4.0806113268870515e-05
0.01,4.3013420129483235e-05
0.011,4.5112855621862116e-05
0.012,4.71188409607295e-05
0.013,4.904284458110137e-05
0.014,5.089416504600117e-05
0.015,5.268046570459632e-05
0.016,5.440815102516068e-05
0.017,5.608263839282382e-05
0.018,5.7708558812569396e-05
0.019,5.928990800589358e-05
0.02,6.083016211116708e-05
0.021,6.2332367623847e-05
0.022,6.379921225781673e-05
0.023,6.523308145290622e-05
0.024,6.663610392996457e-05
0.025,6.801018878145085e-05
0.026,6.93570559439494e-05
0.027,7.067826144109425e-05
0.028,7.197521845370956e-05
0.029,7.32492150304886e-05
0.03,7.450142907157083e-05
0.031,7.573294108134084e-05
0.032,7.694474508342585e-05
0.033,7.813775801158445e-05
0.034,7.931282782879748e-05
0.035,8.047074057894594e-05
0.036,8.161222653774103e-05
0.037,8.273796559966352e-05
0.038,8.384859201378785e-05
0.039,8.494469856217155e-05
0.04,8.602684025896647e-05
0.041,8.709553763577831e-05
0.042,8.815127966847005e-05
0.043,8.919452639210752e-05
0.044,9.022571124372423e-05
0.045,9.124524316675062e-05
0.046,9.225350850608877e-05
0.047,9.325087271873941e-05
0.048,9.4237681921459e-05
0.049,9.521426429403119e-05
0.05,9.618093135428232e-05
0.051,9.713797911888383e-05
0.052,9.808568916220274e-05
0.053,9.902432958393506e-05
0.054,9.995415589494685e-05
0.055,0.00010087541182961726
0.056,0.00010178833009200234
0.057,0.00010269313304229242
0.058,0.00010359003332930012
0.059,0.00010447923447407652
0.06,0.00010536093140919265
0.061,0.00010623531097773539
0.062,0.00010710255239563475
0.063,0.00010796282768056434
0.064,0.00010881630205032136
0.065,0.00010966313429329985
0.066,0.0001105034771134097
0.067,0.00011133747745156347
0.068,0.00011216527678564765
0.069,0.00011298701141071258
0.07,0.0001138028127009523
0.071,0.00011461280735490069
0.072,0.00011541711762513879
0.073,0.00011621586153369368
0.074,0.00011700915307420273
0.075,0.00011779710240182375
0.076,0.00011857981601178716
0.077,0.0001193573969074093
0.078,0.00012012994475831736
0.079,0.00012089755604957416
0.08,0.00012166032422233416
0.081,0.00012241833980661154
0.082,0.000123171690546694
0.083,0.00012392046151969455
0.084,0.000124664735247694
0.085,0.00012540459180389364
0.086,0.0001261401089131634
0.087,0.00012687136204734412
0.088,0.00012759842451563345
0.089,0.000128321367550363
0.09,0.0001290402603884497
0.091,0.0001297551703487859
0.092,0.00013046616290581244
0.093,0.0001311733017595026
0.094,0.00013187664890196852
0.095,0.00013257626468088704
0.096,0.00013327220785992915
0.097,0.00013396453567636363
0.098,0.00013465330389599524
0.099,0.00013533856686558636
0.1,0.0001360203775629017
0.101,0.00013669878764450649
0.102,0.00013737384749144002
0.103,0.00013804560625287922
0.104,0.0001387141118878988
0.105,0.00013937941120542894
0.106,0.00014004154990250427
0.107,0.00014070057260089292
0.108,0.0001413565228821885
0.109,0.00014200944332144332
0.11,0.00014265937551941605
0.111,0.00014330636013350318
0.112,0.00014395043690741913
0.113,0.00014459164469968655
0.114,0.00014523002151099458
0.115,0.00014586560451047904
0.116,0.0001464984300609772
0.117,0.0001471285337433041
0.118,0.00014775595037959762
0.119,0.000148380714055775
0.12,0.00014900285814314166
0.121,0.00014962241531919188
0.122,0.00015023941758763673
0.123,0.00015085389629769538
0.124,0.00015146588216268168
0.125,0.0001520754052779177
0.126,0.0001526824951380035
0.127,0.0001532871806534715
0.128,0.0001538894901668517
0.129,0.00015448945146817334
0.13,0.0001550870918099267
0.131,0.00015568243792150795
0.132,0.0001562755160231689
0.133,0.00015686635183949192
0.134,0.00015745497061240971
0.135,0.000158041397113789
0.136,0.00015862565565759497
0.137,0.00015920777011165454
0.138,0.00015978776390903335
0.139,0.00016036566005904295
0.14,0.00016094148115789188
0.141,0.00016151524939899518
0.142,0.0001620869865829554
0.143,0.0001626567141272278
0.144,0.00016322445307548206
0.145,0.00016379022410667183
0.146,0.00016435404754382328
0.147,0.00016491594336255324
0.148,0.00016547593119932704
0.149,0.00016603403035946564
0.15,0.00016659025982491144
0.151,0.00016714463826176133
0.152,0.0001676971840275757
0.153,0.00016824791517847148
0.154,0.00016879684947600674
0.155,0.00016934400439386457
0.156,0.0001698893971243431
0.157,0.00017043304458465883
0.158,0.0001709749634230692
0.159,0.0001715151700248214
0.16,0.00017205368051793294
0.161,0.00017259051077880985
0.162,0.00017312567643770817
0.163,0.00017365919288404391
0.164,0.00017419107527155662
0.165,0.00017472133852333162
0.166,0.00017524999733668526
0.167,0.00017577706618791808
0.168,0.0001763025593369401
0.169,0.00017682649083177222
0.17,0.00017734887451292824
0.171,0.00017786972401768073
0.172,0.00017838905278421503
0.173,0.00017890687405567457
0.174,0.00017942320088410124
0.175,0.00017993804613427393
0.176,0.00018045142248744847
0.177,0.0001809633424450023
0.178,0.00018147381833198616
0.179,0.0001819828623005866
0.18,0.00018249048633350124
0.181,0.00018299670224722998
0.182,0.00018350152169528428
0.183,0.0001840049561713174
0.184,0.00018450701701217754
0.185,0.00018500771540088678
0.186,0.00018550706236954715
0.187,0.000186005068802177
0.188,0.00018650174543747883
0.189,0.000186997102871541
0.19,0.0001874911515604756
0.191,0.00018798390182299328
0.192,0.000188475363842918
0.193,0.00018896554767164271
0.194,0.0001894544632305278
0.195,0.00018994212031324425
0.196,0.00019042852858806237
0.197,0.0001909136976000885
0.198,0.0001913976367734502
0.199,0.00019188035541343237
0.2,0.00019236186270856463
0.201,0.00019284216773266216
0.202,0.00019332127944682073
0.203,0.00019379920670136735
0.204,0.00019427595823776766
0.205,0.00019475154269049162
0.206,0.00019522596858883792
0.207,0.00019569924435871864
0.208,0.00019617137832440547
0.209,0.00019664237871023772
0.21,0.00019711225364229412
0.211,0.0001975810111500284
0.212,0.00019804865916787012
0.213,0.00019851520553679192
0.214,0.00019898065800584306
0.215,0.00019944502423365143
0.216,0.0001999083117898937
0.217,0.0002003705281567349
0.218,0.0002008316807302385
0.219,0.000201291776821747
0.22,0.0002017508236592345
0.221,0.00020220882838863164
0.222,0.00020266579807512322
0.223,0.00020312173970442004
